date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,vix_close
2024-02-27,22090.19921875,22218.25,22085.650390625,22198.349609375,252200,60.5,167.1449,152.0017,15.1433,22329.6,21934.23,21538.86,223.6612,15.729999542236328
2024-02-28,22214.099609375,22229.150390625,21915.849609375,21951.150390625,203000,52.08,146.401,150.8815,-4.4806,22328.5,21945.5,21562.5,230.0641,16.329999923706055
2024-02-29,21935.19921875,22060.55078125,21860.650390625,21982.80078125,360200,52.98,131.005,146.9062,-15.9012,22324.69,21959.77,21594.85,227.9095,15.569999694824219
2024-03-01,22048.30078125,22353.30078125,22047.75,22338.75,351500,61.71,145.8445,146.6939,-0.8494,22382.22,21984.02,21585.81,238.0945,15.239999771118164
2024-03-04,22403.5,22440.900390625,22358.30078125,22405.599609375,298800,63.1,161.1415,149.5834,11.5581,22442.64,22015.71,21588.79,228.3843,14.920000076293945
2024-03-05,22371.25,22416.900390625,22269.150390625,22356.30078125,296200,61.33,167.3574,153.1382,14.2192,22487.83,22037.06,21586.28,222.6247,14.380000114440918
2024-03-06,22327.5,22497.19921875,22224.349609375,22474.05078125,312300,63.93,179.7133,158.4532,21.2601,22551.99,22064.24,21576.48,226.2122,14.300000190734863
2024-03-07,22505.30078125,22525.650390625,22430.0,22493.55078125,379900,64.35,188.9014,164.5429,24.3586,22598.12,22103.02,21607.91,216.8863,13.609999656677246
2024-03-11,22517.5,22526.599609375,22307.25,22332.650390625,277900,58.24,181.112,167.8567,13.2553,22611.58,22130.52,21649.47,217.0623,14.0
2024-03-12,22334.44921875,22452.55078125,22256.0,22335.69921875,299200,58.32,173.1884,168.923,4.2654,22589.71,22166.51,21743.3,215.5972,13.640000343322754
2024-03-13,22432.19921875,22446.75,21905.650390625,21997.69921875,493300,47.38,138.0439,162.7472,-24.7033,22562.25,22179.23,21796.21,238.8473,14.430000305175781
2024-03-14,21982.55078125,22204.599609375,21917.5,22146.650390625,426700,51.68,120.818,154.3613,-33.5434,22543.44,22194.56,21845.67,242.2939,13.619999885559082
2024-03-15,22064.849609375,22120.900390625,21931.69921875,22023.349609375,661500,48.17,96.1091,142.7109,-46.6018,22533.05,22200.19,21867.32,240.3409,13.6899995803833
2024-03-18,21990.099609375,22123.69921875,21916.55078125,22055.69921875,356300,49.14,78.2356,129.8158,-51.5802,22532.36,22200.94,21869.52,237.97,13.899999618530273
2024-03-19,21946.44921875,21978.30078125,21793.099609375,21817.44921875,344200,42.76,44.3349,112.7197,-68.3847,22557.88,22185.7,21813.52,239.7292,14.109999656677246
2024-03-20,21843.900390625,21930.900390625,21710.19921875,21839.099609375,312400,43.48,18.9964,93.975,-74.9786,22570.84,22167.8,21764.77,238.3701,13.470000267028809
2024-03-21,21989.900390625,22080.94921875,21941.30078125,22011.94921875,353200,48.98,12.7163,77.7233,-65.0069,22571.67,22165.65,21759.63,238.6186,12.510000228881836
2024-03-22,21932.19921875,22180.69921875,21883.30078125,22096.75,388700,51.48,14.4159,65.0618,-50.6459,22565.98,22159.61,21753.25,242.8172,12.220000267028809
2024-03-26,21947.900390625,22073.19921875,21947.55078125,22004.69921875,328400,48.69,8.2401,53.6975,-45.4573,22560.48,22149.21,21737.95,236.1302,12.819999694824219
2024-03-27,22053.94921875,22193.599609375,22052.849609375,22123.650390625,409100,52.29,12.7966,45.5173,-32.7207,22560.54,22149.29,21738.05,232.7566,12.699999809265137
2024-03-28,22163.599609375,22516.0,22163.599609375,22326.900390625,410500,57.74,32.4343,42.9007,-10.4664,22574.15,22155.72,21737.3,244.1561,12.829999923706055
2024-04-01,22455.0,22529.94921875,22427.75,22462.0,0,60.93,58.2276,45.9661,12.2615,22609.37,22181.26,21753.16,241.2199,12.079999923706055
2024-04-02,22458.80078125,22497.599609375,22388.150390625,22453.30078125,289500,60.62,77.0785,52.1886,24.8899,22638.64,22204.79,21770.94,231.8077,11.649999618530273
2024-04-03,22385.69921875,22521.099609375,22346.5,22434.650390625,309600,59.89,89.4815,59.6471,29.8344,22651.71,22209.58,21767.46,227.7214,11.369999885559082
2024-04-04,22592.099609375,22619.0,22303.80078125,22514.650390625,401000,61.98,104.561,68.6299,35.9311,22669.85,22215.04,21760.23,233.9698,11.220000267028809
2024-04-05,22486.400390625,22537.599609375,22427.599609375,22513.69921875,242200,61.94,115.108,77.9255,37.1825,22693.2,22222.91,21752.62,225.1148,11.34000015258789
2024-04-08,22578.349609375,22697.30078125,22550.349609375,22666.30078125,227600,65.87,134.2329,89.187,45.0459,22731.41,22232.52,21733.63,222.1496,11.609999656677246
2024-04-09,22765.099609375,22768.400390625,22612.25,22642.75,232400,64.76,145.8083,100.5113,45.2971,22759.35,22239.98,21720.61,217.4354,11.359999656677246
2024-04-10,22720.25,22775.69921875,22673.69921875,22753.80078125,276800,67.54,162.0745,112.8239,49.2506,22828.18,22261.04,21693.9,211.4007,11.109999656677246
2024-04-12,22677.400390625,22726.44921875,22503.75,22519.400390625,357200,57.27,154.2731,121.1138,33.1594,22848.3,22270.22,21692.15,214.1614,11.529999732971191
2024-04-15,22339.05078125,22427.44921875,22259.55078125,22272.5,355500,48.84,126.707,122.2324,4.4746,22847.65,22283.96,21720.27,217.4248,12.470000267028809
2024-04-16,22125.30078125,22213.75,22079.44921875,22147.900390625,317300,45.23,93.7261,116.5312,-22.805,22847.65,22284.03,21720.4,215.6838,12.619999885559082
2024-04-18,22212.349609375,22326.5,21961.69921875,21995.849609375,456900,41.21,54.6889,104.1627,-49.4738,22849.08,22282.65,21716.22,226.335,13.039999961853027
2024-04-19,21861.5,22179.55078125,21777.650390625,22147.0,362500,46.31,35.5385,90.4379,-54.8993,22847.38,22287.22,21727.05,238.8754,13.460000038146973
2024-04-22,22336.900390625,22375.650390625,22198.150390625,22336.400390625,279300,51.94,35.2385,79.398,-44.1595,22827.94,22313.16,21798.38,238.1451,12.699999809265137
2024-04-23,22447.05078125,22447.55078125,22349.44921875,22368.0,231500,52.82,37.1227,70.9429,-33.8203,22803.69,22339.61,21875.52,229.074,10.199999809265137
